text,x0,y0,x1,y1,page
3000M0u4s,30.0,187.13399999999996,60.967200000000005,197.63399999999996,1
Acetylene - B,87.0,188.63399999999996,139.52399999999997,197.63399999999996,1
0478155,281.28,188.63399999999996,315.67799999999994,197.63399999999996,1
301 Wakara Way NHMU,399.0,188.63399999999996,494.454,197.63399999999996,1
8.37,636.0,188.63399999999996,653.4689999999999,197.63399999999996,1
0872050030,664.5,188.63399999999996,713.64,197.63399999999996,1
Amount Total,516.0,207.35399999999998,569.649,216.35399999999998,1
29.45,630.78,208.13399999999996,653.163,217.13399999999996,1
Chart,22.5,226.85399999999998,47.278800000000004,235.85399999999998,1
01000226000297706260012021,62.28,227.63399999999996,211.33800000000008,236.63399999999996,1
8213NU7nit9dro,30.0,242.63399999999996,64.20439999999999,253.13399999999996,1
"Nitrogen, UHP",87.0,244.13399999999996,143.41199999999998,253.13399999999996,1
200C/Mt.A,187.5,244.13399999999996,229.161,253.13399999999996,1
0482972,281.28,244.13399999999996,315.67799999999994,253.13399999999996,1
1483 MEB,399.0,244.13399999999996,438.762,253.13399999999996,1
7.56,636.0,244.13399999999996,653.4689999999999,253.13399999999996,1
0051001100,664.5,244.13399999999996,713.64,253.13399999999996,1
Amount Total,516.0,262.854,569.649,271.854,1
7.56,636.0,263.63399999999996,653.4689999999999,272.63399999999996,1
Chart,22.5,282.354,47.278800000000004,291.354,1
01000511001131906260012021,62.28,283.13399999999996,211.33800000000008,292.13399999999996,1
8176HC5oe1lllieu,30.0,298.13399999999996,64.9503,308.63399999999996,1
Helium - 219 CF,87.0,299.63399999999996,151.071,308.63399999999996,1
200C/Mt.A,187.5,299.63399999999996,229.161,308.63399999999996,1
0466519,281.28,299.63399999999996,315.67799999999994,308.63399999999996,1
1820 Warnock Eng,399.0,299.63399999999996,473.961,308.63399999999996,1
8.37,636.0,299.63399999999996,653.4689999999999,308.63399999999996,1
0062016500,664.5,299.63399999999996,713.64,308.63399999999996,1
Amount Total,516.0,318.354,569.649,327.354,1
8.37,636.0,319.13399999999996,653.4689999999999,328.13399999999996,1
Chart,22.5,337.854,47.278800000000004,346.854,1
01000512000003396260312021,62.28,338.63399999999996,211.33800000000008,347.63399999999996,1
2013HC9oe3lllieu,30.0,353.63399999999996,64.9503,364.134,1
Helium - UHP,87.0,355.13399999999996,140.352,364.134,1
K/UU,187.5,355.13399999999996,208.03799999999998,364.134,1
0420393,281.28,355.13399999999996,315.67799999999994,364.134,1
"Nanofab East loading dock,",399.0,355.13399999999996,507.378,364.134,1
4.96,636.0,355.13399999999996,653.4689999999999,364.134,1
0062016500,664.5,355.13399999999996,713.64,364.134,1
2027C2o2lle,30.0,370.13399999999996,64.13929999999999,380.634,1
"Nitrogen, UHP",87.0,371.63399999999996,143.41199999999998,380.634,1
0406982,281.28,371.63399999999996,315.67799999999994,380.634,1
EAST LOADING DOCK FOR NANOFAB,399.0,371.63399999999996,547.698,380.634,1
4.96,636.0,371.63399999999996,653.4689999999999,380.634,1
0062016500,664.5,371.63399999999996,713.64,380.634,1
2030C3o0lle,30.0,386.63399999999996,64.13929999999999,397.134,1
"Nitrogen, UHP",87.0,388.13399999999996,143.41199999999998,397.134,1
0359694,281.28,388.13399999999996,315.67799999999994,397.134,1
2500 SMBB,399.0,388.13399999999996,444.027,397.134,1
4.96,636.0,388.13399999999996,653.4689999999999,397.134,1
0062016500,664.5,388.13399999999996,713.64,397.134,1
2032C1o8lle,30.0,403.13399999999996,64.13929999999999,413.634,1
Helium - UHP,87.0,404.63399999999996,140.352,413.634,1
0420393,281.28,404.63399999999996,315.67799999999994,413.634,1
"Nanofab East loading dock,",399.0,404.63399999999996,507.378,413.634,1
4.32,636.0,404.63399999999996,653.4689999999999,413.634,1
0062016500,664.5,404.63399999999996,713.64,413.634,1
2033C4o0lle,30.0,419.63399999999996,64.13929999999999,430.134,1
Air - 233 CF,87.0,421.13399999999996,134.259,430.134,1
0412743,281.28,421.13399999999996,315.67799999999994,430.134,1
2500 SMBB,399.0,421.13399999999996,444.027,430.134,1
4.96,636.0,421.13399999999996,653.4689999999999,430.134,1
0062016500,664.5,421.13399999999996,713.64,430.134,1
2046U3ta7h,30.0,436.13399999999996,63.6583,446.634,1
Helium - UHP,87.0,437.63399999999996,140.352,446.634,1
0490127,281.28,437.63399999999996,315.67799999999994,446.634,1
2500 SMBB Nanofab East Loading DOck,399.0,437.63399999999996,557.526,446.634,1
0.80,636.0,437.63399999999996,653.4689999999999,446.634,1
0151025000,664.5,437.63399999999996,713.64,446.634,1
2052C7o6lle,30.0,452.63399999999996,64.13929999999999,463.134,1
Argon - UHP,87.0,454.13399999999996,136.365,463.134,1
0450549,281.28,454.13399999999996,315.67799999999994,463.134,1
NANOFAB EAST LOADING DOCK,399.0,454.13399999999996,528.231,463.134,1
4.96,636.0,454.13399999999996,653.4689999999999,463.134,1
0062016500,664.5,454.13399999999996,713.64,463.134,1
803894,30.0,470.63399999999996,59.48400000000001,479.634,1
ISP Helium,87.0,470.63399999999996,130.659,479.634,1
0361559,281.28,470.63399999999996,315.67799999999994,479.634,1
8.37,636.0,470.63399999999996,653.4689999999999,479.634,1
8054C9o8lle,30.0,485.63399999999996,64.13929999999999,496.13399999999996,1
Tetrafluorometh,87.0,487.13399999999996,151.242,496.13399999999996,1
0276225,281.28,487.13399999999996,315.67799999999994,496.13399999999996,1
1280 MEB,399.0,487.13399999999996,438.762,496.13399999999996,1
6.82,636.0,487.13399999999996,653.4689999999999,496.13399999999996,1
0062016500,664.5,487.13399999999996,713.64,496.13399999999996,1
8061C3o6lle,30.0,502.13399999999996,64.13929999999999,512.634,1
Oxygen - Resear,87.0,503.63399999999996,152.979,512.634,1
0300341,281.28,503.63399999999996,315.67799999999994,512.634,1
1280 MEB,399.0,503.63399999999996,438.762,512.634,1
12.40,630.78,503.63399999999996,653.163,512.634,1
0062016500,664.5,503.63399999999996,713.64,512.634,1
8069C8o0lle,30.0,518.634,64.13929999999999,529.134,1
14% R14 In O2,87.0,520.134,149.154,529.134,1
0289897,281.28,520.134,315.67799999999994,529.134,1
1280 MEB,399.0,520.134,438.762,529.134,1
6.82,636.0,520.134,653.4689999999999,529.134,1
0062016500,664.5,520.134,713.64,529.134,1
8074C9o8lle,30.0,535.134,64.13929999999999,545.634,1
Oxygen - Resear,87.0,536.634,152.979,545.634,1
0310665,281.28,536.634,315.67799999999994,545.634,1
1280 MEB,399.0,536.634,438.762,545.634,1
6.82,636.0,536.634,653.4689999999999,545.634,1
0062016500,664.5,536.634,713.64,545.634,1
8080C2o2lle,30.0,551.634,64.13929999999999,562.134,1
Trifluoromethan,87.0,553.134,150.58499999999998,562.134,1
0328154,281.28,553.134,315.67799999999994,562.134,1
1280 MEB,399.0,553.134,438.762,562.134,1
6.82,636.0,553.134,653.4689999999999,562.134,1
0062016500,664.5,553.134,713.64,562.134,1
CylBillAcct2,24.78,565.37775,52.48949999999999,570.62775,1
University of Utah,24.0,42.13200000000006,126.65280000000001,54.13200000000006,2
Date,645.78,45.999000000000024,664.7772,54.999000000000024,2
07/31/2020,674.3154,45.999000000000024,719.319,54.999000000000024,2
General Stores,23.999700000000075,55.23929999999996,87.9915000000001,64.23929999999996,2
Page,645.78,57.99959999999999,666.7329,66.99959999999999,2
2,674.274,57.99959999999999,679.278,66.99959999999999,2
Cylinder Billing Report,23.999700000000075,67.23990000000003,121.53720000000008,76.23990000000003,2
BarCode,24.78,85.85400000000004,58.053000000000004,94.85400000000004,2
Gas,132.7818,85.85400000000004,147.5238,94.85400000000004,2
Size,222.7755,85.85400000000004,238.57949999999997,94.85400000000004,2
CO #,294.77279999999996,85.85400000000004,315.92279999999994,94.85400000000004,2
PO #CDLocation,366.7898999999999,85.85400000000004,429.50999999999993,94.85400000000004,2
Demurrage,600.7872,85.85400000000004,645.1211999999999,94.85400000000004,2
Delivery Code,669.0,85.85400000000004,723.7199999999999,94.85400000000004,2
809515,30.0,106.85399999999998,59.48400000000001,115.85399999999998,2
10 He in N2,87.0,106.85399999999998,134.088,115.85399999999998,2
0361559,281.28,106.85399999999998,315.67799999999994,115.85399999999998,2
8.37,636.0,106.85399999999998,653.4689999999999,115.85399999999998,2
8095C1o6lle,30.0,121.85399999999998,64.13929999999999,132.35399999999998,2
10 He in N2,87.0,123.35399999999998,134.088,132.35399999999998,2
0361559,281.28,123.35399999999998,315.67799999999994,132.35399999999998,2
2500 SMBB,399.0,123.35399999999998,444.027,132.35399999999998,2
6.82,636.0,123.35399999999998,653.4689999999999,132.35399999999998,2
0062016500,664.5,123.35399999999998,713.64,132.35399999999998,2
8095C1o7lle,30.0,138.35399999999998,64.13929999999999,148.85399999999998,2
10 He in N2,87.0,139.85399999999998,134.088,148.85399999999998,2
0361559,281.28,139.85399999999998,315.67799999999994,148.85399999999998,2
2500 SMBB,399.0,139.85399999999998,444.027,148.85399999999998,2
6.82,636.0,139.85399999999998,653.4689999999999,148.85399999999998,2
0062016500,664.5,139.85399999999998,713.64,148.85399999999998,2
8095C2o1lle,30.0,154.85399999999998,64.13929999999999,165.35399999999998,2
10 He in N2,87.0,156.35399999999998,134.088,165.35399999999998,2
0359703,281.28,156.35399999999998,315.67799999999994,165.35399999999998,2
2500 SMBB,399.0,156.35399999999998,444.027,165.35399999999998,2
6.82,636.0,156.35399999999998,653.4689999999999,165.35399999999998,2
0062016500,664.5,156.35399999999998,713.64,165.35399999999998,2
8098C5o9lle,30.0,171.35399999999998,64.13929999999999,181.85399999999998,2
2.85%H2/Argon,87.0,172.85399999999998,151.21499999999997,181.85399999999998,2
0373036,281.28,172.85399999999998,315.67799999999994,181.85399999999998,2
1280 MEB,399.0,172.85399999999998,438.762,181.85399999999998,2
6.82,636.0,172.85399999999998,653.4689999999999,181.85399999999998,2
0064012800,664.5,172.85399999999998,713.64,181.85399999999998,2
8100C1o9lle,30.0,187.85399999999998,64.13929999999999,198.35399999999998,2
BIP Nitrogen,87.0,189.35399999999998,137.36399999999998,198.35399999999998,2
0375755,281.28,189.35399999999998,315.67799999999994,198.35399999999998,2
NANOFAB EAST LOADING DOCK,399.0,189.35399999999998,528.231,198.35399999999998,2
5.94,636.0,189.35399999999998,653.4689999999999,198.35399999999998,2
0062016500,664.5,189.35399999999998,713.64,198.35399999999998,2
8101C1o4lle,30.0,204.35399999999998,64.13929999999999,214.85399999999998,2
Ammonia Elect,87.0,205.85399999999998,146.031,214.85399999999998,2
0359145,281.28,205.85399999999998,315.67799999999994,214.85399999999998,2
2500 SMBB,399.0,205.85399999999998,444.027,214.85399999999998,2
27.59,630.78,205.85399999999998,653.163,214.85399999999998,2
0062016500,664.5,205.85399999999998,713.64,214.85399999999998,2
8101U2ta6h,30.0,220.85399999999998,63.6583,231.35399999999998,2
EXOATLKEN-C,87.0,222.35399999999998,143.808,231.35399999999998,2
0384434,281.28,222.35399999999998,315.67799999999994,231.35399999999998,2
15.19,630.78,222.35399999999998,653.163,231.35399999999998,2
0151025000,664.5,222.35399999999998,713.64,231.35399999999998,2
8105U2ta3h,30.0,237.35399999999998,63.6583,247.85399999999998,2
10 He in N2,87.0,238.85399999999998,134.088,247.85399999999998,2
0390109,281.28,238.85399999999998,315.67799999999994,247.85399999999998,2
BLDG 151 DOCK,399.0,238.85399999999998,464.43899999999996,247.85399999999998,2
6.82,636.0,238.85399999999998,653.4689999999999,247.85399999999998,2
0151025000,664.5,238.85399999999998,713.64,247.85399999999998,2
8105U2ta4h,30.0,253.85399999999998,63.6583,264.354,2
10 He in N2,87.0,255.35399999999998,134.088,264.354,2
0390109,281.28,255.35399999999998,315.67799999999994,264.354,2
BLDG 151 DOCK,399.0,255.35399999999998,464.43899999999996,264.354,2
6.82,636.0,255.35399999999998,653.4689999999999,264.354,2
0151025000,664.5,255.35399999999998,713.64,264.354,2
8107U3ta9h,30.0,270.354,63.6583,280.854,2
10 He in N2,87.0,271.854,134.088,280.854,2
0391599,281.28,271.854,315.67799999999994,280.854,2
2500 SMBB,399.0,271.854,444.027,280.854,2
6.82,636.0,271.854,653.4689999999999,280.854,2
0151025000,664.5,271.854,713.64,280.854,2
8107U4ta0h,30.0,286.854,63.6583,297.354,2
10 He in N2,87.0,288.354,134.088,297.354,2
0391599,281.28,288.354,315.67799999999994,297.354,2
2500 SMBB,399.0,288.354,444.027,297.354,2
6.82,636.0,288.354,653.4689999999999,297.354,2
0151025000,664.5,288.354,713.64,297.354,2
8108U4ta2h,30.0,303.354,63.6583,313.854,2
10 He in N2,87.0,304.854,134.088,313.854,2
0394489,281.28,304.854,315.67799999999994,313.854,2
2500 SMBB,399.0,304.854,444.027,313.854,2
6.82,636.0,304.854,653.4689999999999,313.854,2
0151025000,664.5,304.854,713.64,313.854,2
8108U4ta4h,30.0,319.854,63.6583,330.354,2
10 He in N2,87.0,321.354,134.088,330.354,2
0394489,281.28,321.354,315.67799999999994,330.354,2
2500 SMBB,399.0,321.354,444.027,330.354,2
6.82,636.0,321.354,653.4689999999999,330.354,2
0151025000,664.5,321.354,713.64,330.354,2
8108U6ta2h,30.0,336.354,63.6583,346.854,2
Ammonia Elect,87.0,337.854,146.031,346.854,2
0403415,281.28,337.854,315.67799999999994,346.854,2
2500 SMBB,399.0,337.854,444.027,346.854,2
17.05,630.78,337.854,653.163,346.854,2
0151025000,664.5,337.854,713.64,346.854,2
8108U6ta4h,30.0,352.854,63.6583,363.35400000000004,2
Dichlorosilane,87.0,354.354,142.026,363.35400000000004,2
0406266,281.28,354.354,315.67799999999994,363.35400000000004,2
2500 SMBB,399.0,354.354,444.027,363.35400000000004,2
27.59,630.78,354.354,653.163,363.35400000000004,2
0151025000,664.5,354.354,713.64,363.35400000000004,2
8110U5ta4h,30.0,369.354,63.6583,379.85400000000004,2
Res. Nitrogen,87.0,370.854,140.81099999999998,379.85400000000004,2
0401849,281.28,370.854,315.67799999999994,379.85400000000004,2
EAST LOADING DOCK,399.0,370.854,486.2459999999999,379.85400000000004,2
6.82,636.0,370.854,653.4689999999999,379.85400000000004,2
0151025000,664.5,370.854,713.64,379.85400000000004,2
8111U6ta4h,30.0,385.854,63.6583,396.35400000000004,2
2.85%H2/Argon,87.0,387.354,151.21499999999997,396.35400000000004,2
0402031,281.28,387.354,315.67799999999994,396.35400000000004,2
NANOFAB LADING DOCK SMBB,399.0,387.354,523.695,396.35400000000004,2
6.82,636.0,387.354,653.4689999999999,396.35400000000004,2
0151025000,664.5,387.354,713.64,396.35400000000004,2
8133U1ta1h,30.0,402.354,63.6583,412.85400000000004,2
Silane,87.0,403.854,110.616,412.85400000000004,2
0424695,281.28,403.854,315.67799999999994,412.85400000000004,2
2500 SMBB - CLEAN ROOM,399.0,403.854,507.36000000000007,412.85400000000004,2
79.05,630.78,403.854,653.163,412.85400000000004,2
0151025000,664.5,403.854,713.64,412.85400000000004,2
8134U3ta5h,30.0,418.854,63.6583,429.35400000000004,2
10 He in N2,87.0,420.354,134.088,429.35400000000004,2
0427208,281.28,420.354,315.67799999999994,429.35400000000004,2
NANOFAB EAST LAB LOADING DOCK,399.0,420.354,546.2310000000001,429.35400000000004,2
7.13,636.0,420.354,653.4689999999999,429.35400000000004,2
0151025000,664.5,420.354,713.64,429.35400000000004,2
8135U6ta4h,30.0,435.354,63.6583,445.85400000000004,2
Silane,87.0,436.854,110.616,445.85400000000004,2
0427615,281.28,436.854,315.67799999999994,445.85400000000004,2
2500 SMBB - CLEAN ROOM,399.0,436.854,507.36000000000007,445.85400000000004,2
34.10,630.78,436.854,653.163,445.85400000000004,2
0151025000,664.5,436.854,713.64,445.85400000000004,2
8135U6ta5h,30.0,451.854,63.6583,462.35400000000004,2
6% Ph3 iin Sih4,87.0,453.354,150.207,462.35400000000004,2
0427615,281.28,453.354,315.67799999999994,462.35400000000004,2
2500 SMBB - CLEAN ROOM,399.0,453.354,507.36000000000007,462.35400000000004,2
34.10,630.78,453.354,653.163,462.35400000000004,2
0151025000,664.5,453.354,713.64,462.35400000000004,2
8145U7ta4h,30.0,468.354,63.6583,478.85400000000004,2
Dichlorosilane,87.0,469.854,142.026,478.85400000000004,2
0431156,281.28,469.854,315.67799999999994,478.85400000000004,2
2500 SMBB,399.0,469.854,444.027,478.85400000000004,2
34.10,630.78,469.854,653.163,478.85400000000004,2
0151025000,664.5,469.854,713.64,478.85400000000004,2
8171U2ta6h,30.0,484.8539,63.6583,495.3539,2
EXOATLKEN-C,87.0,486.3539,143.808,495.3539,2
0455124,281.28,486.3539,315.67799999999994,495.3539,2
NANOFAB DOCK SMBB,399.0,486.3539,489.531,495.3539,2
21.70,630.78,486.3539,653.163,495.3539,2
0151025000,664.5,486.3539,713.64,495.3539,2
8179U6ta6h,30.0,501.3539,63.6583,511.8539,2
P2H4/Silane,87.0,502.8539,134.91600000000003,511.8539,2
0455975,281.28,502.8539,315.67799999999994,511.8539,2
FAB LAB SMBB,399.0,502.8539,457.76099999999997,511.8539,2
8.99,636.0,502.8539,653.4689999999999,511.8539,2
0151025000,664.5,502.8539,713.64,511.8539,2
8180C2o3lle,30.0,517.8539000000001,64.13929999999999,528.3539000000001,2
"Oxygen, UHP,",87.0,519.3539000000001,142.251,528.3539000000001,2
0462437,281.28,519.3539000000001,315.67799999999994,528.3539000000001,2
NANOFAB EAST LOADINGDOCK,399.0,519.3539000000001,525.414,528.3539000000001,2
8.37,636.0,519.3539000000001,653.4689999999999,528.3539000000001,2
0062016500,664.5,519.3539000000001,713.64,528.3539000000001,2
8183C5o6lle,30.0,534.3539000000001,64.13929999999999,544.8539000000001,2
40ppm SiH2/Ar,87.0,535.8539000000001,147.3,544.8539000000001,2
0461383,281.28,535.8539000000001,315.67799999999994,544.8539000000001,2
DOCK SMBB,399.0,535.8539000000001,447.546,544.8539000000001,2
38.75,630.78,535.8539000000001,653.163,544.8539000000001,2
0064012800,664.5,535.8539000000001,713.64,544.8539000000001,2
8184U9ta1h,30.0,550.8539000000001,63.6583,561.3539000000001,2
Sulfer Hexafluo,87.0,552.3539000000001,147.57,561.3539000000001,2
0464667,281.28,552.3539000000001,315.67799999999994,561.3539000000001,2
FAB LAB SMBB,399.0,552.3539000000001,457.76099999999997,561.3539000000001,2
8.37,636.0,552.3539000000001,653.4689999999999,561.3539000000001,2
0151025000,664.5,552.3539000000001,713.64,561.3539000000001,2
CylBillAcct2,24.78,565.37775,52.48949999999999,570.62775,2
University of Utah,24.0,42.13200000000006,126.65280000000001,54.13200000000006,3
Date,645.78,45.999000000000024,664.7772,54.999000000000024,3
07/31/2020,674.3154,45.999000000000024,719.319,54.999000000000024,3
General Stores,23.999700000000075,55.23929999999996,87.9915000000001,64.23929999999996,3
Page,645.78,57.99959999999999,666.7329,66.99959999999999,3
3,674.274,57.99959999999999,679.278,66.99959999999999,3
Cylinder Billing Report,23.999700000000075,67.23990000000003,121.53720000000008,76.23990000000003,3
BarCode,24.78,85.85400000000004,58.053000000000004,94.85400000000004,3
Gas,132.7818,85.85400000000004,147.5238,94.85400000000004,3
Size,222.7755,85.85400000000004,238.57949999999997,94.85400000000004,3
CO #,294.77279999999996,85.85400000000004,315.92279999999994,94.85400000000004,3
PO #CDLocation,366.7898999999999,85.85400000000004,429.50999999999993,94.85400000000004,3
Demurrage,600.7872,85.85400000000004,645.1211999999999,94.85400000000004,3
Delivery Code,669.0,85.85400000000004,723.7199999999999,94.85400000000004,3
8186U9ta1h,30.0,103.85399999999998,63.6583,114.35399999999998,3
C4F8,87.0,105.35399999999998,106.926,114.35399999999998,3
0464666,281.28,105.35399999999998,315.67799999999994,114.35399999999998,3
FAB LAB SMBB,399.0,105.35399999999998,457.76099999999997,114.35399999999998,3
8.37,636.0,105.35399999999998,653.4689999999999,114.35399999999998,3
0151025000,664.5,105.35399999999998,713.64,114.35399999999998,3
8190C3o0lle,30.0,120.35399999999998,64.13929999999999,130.85399999999998,3
"Oxygen, UHP,",87.0,121.85399999999998,142.251,130.85399999999998,3
0469712,281.28,121.85399999999998,315.67799999999994,130.85399999999998,3
36 SOuth Wasatch Dr Nanofab East Loading D,399.0,121.85399999999998,583.2695,130.85399999999998,3
8.37,636.0,121.85399999999998,653.4689999999999,130.85399999999998,3
0062016500,664.5,121.85399999999998,713.64,130.85399999999998,3
8190C3o1lle,30.0,136.85399999999998,64.13929999999999,147.35399999999998,3
"Oxygen, UHP,",87.0,138.35399999999998,142.251,147.35399999999998,3
0469712,281.28,138.35399999999998,315.67799999999994,147.35399999999998,3
36 SOuth Wasatch Dr Nanofab East Loading D,399.0,138.35399999999998,583.2695,147.35399999999998,3
8.37,636.0,138.35399999999998,653.4689999999999,147.35399999999998,3
0062016500,664.5,138.35399999999998,713.64,147.35399999999998,3
8190C3o2lle,30.0,153.35399999999998,64.13929999999999,163.85399999999998,3
"Oxygen, UHP,",87.0,154.85399999999998,142.251,163.85399999999998,3
0469712,281.28,154.85399999999998,315.67799999999994,163.85399999999998,3
36 SOuth Wasatch Dr Nanofab East Loading D,399.0,154.85399999999998,583.2695,163.85399999999998,3
8.37,636.0,154.85399999999998,653.4689999999999,163.85399999999998,3
0062016500,664.5,154.85399999999998,713.64,163.85399999999998,3
8190C3o3lle,30.0,169.85399999999998,64.13929999999999,180.35399999999998,3
"Oxygen, UHP,",87.0,171.35399999999998,142.251,180.35399999999998,3
0469712,281.28,171.35399999999998,315.67799999999994,180.35399999999998,3
36 SOuth Wasatch Dr Nanofab East Loading D,399.0,171.35399999999998,583.2695,180.35399999999998,3
8.37,636.0,171.35399999999998,653.4689999999999,180.35399999999998,3
0062016500,664.5,171.35399999999998,713.64,180.35399999999998,3
8192U4ta5h,30.0,186.35399999999998,63.6583,196.85399999999998,3
Chlorine Elect,87.0,187.85399999999998,141.252,196.85399999999998,3
0468246,281.28,187.85399999999998,315.67799999999994,196.85399999999998,3
EAST LOADING DOCK SMBB,399.0,187.85399999999998,511.617,196.85399999999998,3
38.75,630.78,187.85399999999998,653.163,196.85399999999998,3
0151025000,664.5,187.85399999999998,713.64,196.85399999999998,3
8193U1ta5h,30.0,202.85399999999998,63.6583,213.35399999999998,3
BCL3,87.0,204.35399999999998,107.10600000000001,213.35399999999998,3
0470553,281.28,204.35399999999998,315.67799999999994,213.35399999999998,3
EAST LOADING DOCK SMBB,399.0,204.35399999999998,511.617,213.35399999999998,3
8.37,636.0,204.35399999999998,653.4689999999999,213.35399999999998,3
0151025000,664.5,204.35399999999998,713.64,213.35399999999998,3
8199U2ta2h,30.0,219.35399999999998,63.6583,229.85399999999998,3
ISP Helium,87.0,220.85399999999998,130.659,229.85399999999998,3
0475237,281.28,220.85399999999998,315.67799999999994,229.85399999999998,3
NANOFAB EAST LOADING DOCK,399.0,220.85399999999998,528.231,229.85399999999998,3
8.37,636.0,220.85399999999998,653.4689999999999,229.85399999999998,3
0151025000,664.5,220.85399999999998,713.64,229.85399999999998,3
8206U6ta5h,30.0,235.85399999999998,63.6583,246.35399999999998,3
H2 SULFIDE,87.0,237.35399999999998,135.40200000000002,246.35399999999998,3
0478686,281.28,237.35399999999998,315.67799999999994,246.35399999999998,3
2500 SMBB,399.0,237.35399999999998,444.027,246.35399999999998,3
38.75,630.78,237.35399999999998,653.163,246.35399999999998,3
0151025000,664.5,237.35399999999998,713.64,246.35399999999998,3
8207U7ta8h,30.0,252.35399999999998,63.6583,262.854,3
"Oxygen, UHP,",87.0,253.85399999999998,142.251,262.854,3
0480988,281.28,253.85399999999998,315.67799999999994,262.854,3
2500 SMBB Nanofab East Loading Dock,399.0,253.85399999999998,556.0409999999999,262.854,3
8.37,636.0,253.85399999999998,653.4689999999999,262.854,3
0151025000,664.5,253.85399999999998,713.64,262.854,3
8207U7ta9h,30.0,268.854,63.6583,279.354,3
"Oxygen, UHP,",87.0,270.354,142.251,279.354,3
0480988,281.28,270.354,315.67799999999994,279.354,3
2500 SMBB Nanofab East Loading Dock,399.0,270.354,556.0409999999999,279.354,3
8.37,636.0,270.354,653.4689999999999,279.354,3
0151025000,664.5,270.354,713.64,279.354,3
8207U8ta0h,30.0,285.354,63.6583,295.854,3
"Oxygen, UHP,",87.0,286.854,142.251,295.854,3
0480988,281.28,286.854,315.67799999999994,295.854,3
2500 SMBB Nanofab East Loading Dock,399.0,286.854,556.0409999999999,295.854,3
8.37,636.0,286.854,653.4689999999999,295.854,3
0151025000,664.5,286.854,713.64,295.854,3
8211U7ta8h,30.0,301.854,63.6583,312.354,3
"Oxygen, UHP,",87.0,303.354,142.251,312.354,3
0481192,281.28,303.354,315.67799999999994,312.354,3
2500 SMBB Nanofab East Loading Dock,399.0,303.354,556.0409999999999,312.354,3
8.37,636.0,303.354,653.4689999999999,312.354,3
0151025000,664.5,303.354,713.64,312.354,3
8211U7ta9h,30.0,318.354,63.6583,328.854,3
"Oxygen, UHP,",87.0,319.854,142.251,328.854,3
0488734,281.28,319.854,315.67799999999994,328.854,3
